Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CXCL8,354.6343009,-4.209752217,0.268102435,-15.70202905,1.46E-55,3.14E-52
LYPD2,41.31318572,-4.032639284,0.637878425,-6.321955921,2.58E-10,9.76E-09
CCL4,50.42851764,-3.963374563,0.693168004,-5.717769056,1.08E-08,3.03E-07
ENSG00000289166,58.64535591,-2.858977225,0.498382622,-5.736510663,9.66E-09,2.75E-07
WFDC21P,58.08524197,-2.84985536,0.454223929,-6.274119829,3.52E-10,1.29E-08
RN7SL128P,93.14871762,-2.586238074,0.425073282,-6.084216963,1.17E-09,3.91E-08
ALPP,88.04999797,-2.541127362,0.396337434,-6.411524986,1.44E-10,5.67E-09
IL6,104.5198673,-2.511945184,0.35808606,-7.014920344,2.30E-12,1.23E-10
GAL,3610.213898,-2.440732057,0.44349719,-5.503376605,3.73E-08,9.55E-07
ENSG00000243779,57.16651334,-2.403422586,0.448106989,-5.363501677,8.16E-08,1.95E-06
RPF2P1,112.6458142,-2.258667214,0.40560871,-5.568586564,2.57E-08,6.77E-07
FN1,183.6233206,-2.180342224,0.304027207,-7.171536544,7.42E-13,4.24E-11
RNF145,334.7014905,-2.168678443,0.226200194,-9.587429642,9.03E-22,1.48E-19
ENSG00000289578,209.2661147,-2.164719028,0.34102534,-6.347677932,2.19E-10,8.44E-09
LINC02518,90.15905208,-2.157461718,0.362425823,-5.952836646,2.64E-09,8.33E-08
WAKMAR2,234.7238492,-2.107888444,0.270542694,-7.791333828,6.63E-15,4.91E-13
HDAC9,126.628802,-1.973206047,0.292210314,-6.752691302,1.45E-11,6.83E-10
CBX4,86.74693017,-1.950676899,0.340114885,-5.735347045,9.73E-09,2.76E-07
RAB5IF,555.0812973,-1.913406174,0.21303868,-8.981496573,2.67E-19,3.28E-17
MREG,282.9928195,-1.893983037,0.367711687,-5.150728424,2.59E-07,5.58E-06
UBE2S,316.4470525,-1.892425892,0.268648768,-7.044238128,1.86E-12,1.01E-10
DSEL,162.4126172,-1.846301638,0.322926423,-5.717406522,1.08E-08,3.03E-07
PI3,4410.753912,-1.816256236,0.096314445,-18.85756849,2.55E-79,1.46E-75
ZFAND2A-DT,528.1922897,-1.78981673,0.226896358,-7.888256755,3.06E-15,2.36E-13
RNU6-6P,454.9466736,-1.771931411,0.159959091,-11.07740359,1.61E-28,6.03E-26
SLC30A5,257.3233235,-1.768776937,0.287837114,-6.145062091,7.99E-10,2.74E-08
SNHG7,514.8991907,-1.749342056,0.211129649,-8.285629536,1.17E-16,1.07E-14
C11orf97,132.0829283,-1.715938132,0.322335888,-5.323447364,1.02E-07,2.38E-06
ARPC5L,4235.29282,-1.694501265,0.157427197,-10.76371365,5.11E-27,1.46E-24
H4C14,231.8996776,-1.64660693,0.275055232,-5.986459226,2.14E-09,6.86E-08
ENSG00000215154,185.1999669,-1.645977823,0.298715356,-5.510188176,3.58E-08,9.23E-07
PLAUR,594.9884445,-1.624547913,0.202628464,-8.017372702,1.08E-15,8.79E-14
POLG2,129.5754621,-1.619206522,0.320596887,-5.050599639,4.40E-07,8.95E-06
DCTN6-DT,181.3882275,-1.613311105,0.235399774,-6.853494705,7.21E-12,3.53E-10
RARRES1,260.7209178,-1.596758516,0.214125497,-7.457115269,8.84E-14,5.65E-12
TBC1D22A-DT,823.4038956,-1.571692747,0.12769082,-12.30858059,8.14E-35,5.18E-32
SPSB1,258.0724491,-1.56898924,0.271593043,-5.776986131,7.61E-09,2.19E-07
FOXD1,340.4946303,-1.567822658,0.187386375,-8.366791109,5.92E-17,5.62E-15
SDHC,117.7837427,-1.544776958,0.296408944,-5.211640834,1.87E-07,4.14E-06
UPK2,349.7724415,-1.533365444,0.194171259,-7.896974291,2.86E-15,2.22E-13
CDC23,204.2393505,-1.516726236,0.24222198,-6.261720078,3.81E-10,1.38E-08
AKR1C1,2896.874809,-1.508334558,0.104818846,-14.38991764,5.99E-47,7.34E-44
RAC1P2,213.4187392,-1.487683358,0.257561935,-5.776021827,7.65E-09,2.20E-07
C16orf87,616.3998646,-1.483456609,0.192431798,-7.708999356,1.27E-14,9.11E-13
PPP6R2,1540.770096,-1.479493008,0.138433918,-10.68735923,1.17E-26,3.23E-24
GPATCH11,180.9527328,-1.477575098,0.282084468,-5.238059036,1.62E-07,3.65E-06
TRIR,1552.907372,-1.470073056,0.207681171,-7.07850909,1.46E-12,7.99E-11
ANXA2,6854.649705,-1.446363612,0.155035674,-9.329230964,1.07E-20,1.50E-18
METTL9,2356.114589,-1.446259862,0.180642263,-8.006209815,1.18E-15,9.54E-14
MALAT1,2911.931511,-1.435184023,0.120612908,-11.89909142,1.20E-32,6.04E-30
UBE2T,811.4301553,-1.426757025,0.17278032,-8.257636218,1.49E-16,1.35E-14
CHASERR,471.5298282,-1.425319061,0.180535934,-7.894932759,2.90E-15,2.25E-13
RAB4A,621.0875495,-1.424679328,0.208413819,-6.835819871,8.15E-12,3.97E-10
VCX3B,2362.171475,-1.41633709,0.130495398,-10.85354049,1.92E-27,5.78E-25
RLF,344.3889388,-1.395422979,0.256561923,-5.4389325,5.36E-08,1.32E-06
PLEK2,306.5825951,-1.38916582,0.213849982,-6.495982882,8.25E-11,3.44E-09
CSAG4,2172.225616,-1.362132595,0.133273993,-10.22054318,1.60E-24,3.44E-22
DESI2,460.3286266,-1.360792484,0.240861589,-5.649686576,1.61E-08,4.36E-07
GCLM,2174.571066,-1.350305997,0.194434664,-6.944780166,3.79E-12,1.97E-10
ENSG00000289021,168.4966834,-1.34740988,0.23793321,-5.662975252,1.49E-08,4.06E-07
SBNO1-AS1,168.6696035,-1.346931211,0.251860895,-5.347917197,8.90E-08,2.11E-06
ELAVL1,515.8835749,-1.337403153,0.260239633,-5.139121725,2.76E-07,5.90E-06
TFPI2,991.7982141,-1.336280134,0.172409177,-7.750632267,9.14E-15,6.63E-13
GADD45GIP1,2832.298761,-1.323366211,0.210339674,-6.291567282,3.14E-10,1.16E-08
RAC1,8300.031584,-1.321891645,0.176012028,-7.510234733,5.90E-14,3.91E-12
FAM3C,433.0017732,-1.316778951,0.222676914,-5.913405796,3.35E-09,1.04E-07
VCX3A,5680.918279,-1.30638153,0.099633492,-13.11187131,2.82E-39,2.84E-36
CDADC1,970.4952366,-1.29673364,0.165280745,-7.845642498,4.31E-15,3.27E-13
MAGOH,2262.209878,-1.290078889,0.101157423,-12.75318066,2.99E-37,2.70E-34
APOBEC3B,378.0961421,-1.289342821,0.183627867,-7.021498671,2.20E-12,1.18E-10
MAGEA4-AS1,1221.313824,-1.283722487,0.122827172,-10.4514536,1.44E-25,3.59E-23
TCEAL9,628.2895077,-1.275738811,0.170180236,-7.496398197,6.56E-14,4.30E-12
LINC00476,394.9891775,-1.27514492,0.18740978,-6.804046824,1.02E-11,4.88E-10
IL13RA1,316.9169215,-1.273634381,0.182445857,-6.980889558,2.93E-12,1.54E-10
ACAA2,291.7218496,-1.263054166,0.232876072,-5.423718094,5.84E-08,1.42E-06
MITD1,2180.289978,-1.257479359,0.120570784,-10.42938696,1.82E-25,4.40E-23
GAR1,227.0024891,-1.255716623,0.244543095,-5.134950227,2.82E-07,6.00E-06
CYB5R3,206.9036807,-1.250321125,0.212631361,-5.880229141,4.10E-09,1.24E-07
HCCS,884.7607184,-1.245490188,0.124399813,-10.01199404,1.35E-23,2.73E-21
KLHL28,201.9084798,-1.24406562,0.236491486,-5.260509117,1.44E-07,3.25E-06
SNHG19,1439.407593,-1.232927165,0.115281305,-10.69494455,1.07E-26,3.03E-24
POLE4,2431.288956,-1.226719941,0.182017464,-6.739572751,1.59E-11,7.42E-10
RNF126,461.1098861,-1.216373711,0.220307595,-5.52125182,3.37E-08,8.70E-07
GTF2E2,447.5935401,-1.213405392,0.155320141,-7.812286202,5.62E-15,4.21E-13
CDK1,349.2902214,-1.208933094,0.238246177,-5.074302179,3.89E-07,7.95E-06
SNHG21,332.4524345,-1.206165223,0.195103583,-6.182178744,6.32E-10,2.21E-08
EBPL,1144.274943,-1.200340075,0.234409154,-5.120704783,3.04E-07,6.41E-06
ARL14EP,1322.730538,-1.19317027,0.130197771,-9.164291058,4.99E-20,6.80E-18
KLHL9,289.2349792,-1.192232862,0.202732747,-5.880810484,4.08E-09,1.24E-07
SNX3,2795.388847,-1.186599528,0.15055651,-7.8814229,3.24E-15,2.48E-13
CDKN2A,3978.682432,-1.18473868,0.113507268,-10.43755792,1.67E-25,4.10E-23
TUSC3,942.0363863,-1.183948985,0.183906978,-6.437759989,1.21E-10,4.86E-09
UBE2K,1861.871005,-1.182329099,0.112626498,-10.49778804,8.84E-26,2.27E-23
CCDC59,10665.14952,-1.181635182,0.098165745,-12.03714368,2.27E-33,1.26E-30
ENSG00000287104,171.8624166,-1.18067344,0.234224549,-5.040775802,4.64E-07,9.39E-06
ENSG00000289154,195.8328508,-1.169477189,0.22915758,-5.103375548,3.34E-07,6.94E-06
VCX,3490.263145,-1.166469035,0.094541507,-12.33816847,5.64E-35,3.73E-32
GTF3C6,3446.549936,-1.166135778,0.121075142,-9.631504529,5.89E-22,9.91E-20
RPL6P27,1606.656289,-1.165519742,0.098911175,-11.78349911,4.75E-32,2.26E-29
ABHD12,293.1856836,-1.164446102,0.220221494,-5.287613297,1.24E-07,2.85E-06
MPZL3,428.9357824,-1.164226116,0.223302357,-5.213675892,1.85E-07,4.10E-06
CWC15,12369.97983,-1.143330574,0.089292767,-12.80429107,1.55E-37,1.48E-34
ENSG00000234742,418.9364778,-1.142222719,0.170987668,-6.680146773,2.39E-11,1.08E-09
CDK2AP1,645.7915258,-1.134885952,0.224430487,-5.056737023,4.26E-07,8.68E-06
YKT6,1128.147932,-1.129384509,0.215155882,-5.249145413,1.53E-07,3.44E-06
H2BC5,398.2745626,-1.124283308,0.18055055,-6.226972508,4.76E-10,1.69E-08
ZCCHC10,1217.274475,-1.122702991,0.117877489,-9.524320582,1.66E-21,2.55E-19
SNRPB2,3146.026438,-1.121582707,0.08487599,-13.21436972,7.25E-40,7.78E-37
UBE2E2,273.5354544,-1.118154942,0.214242219,-5.219115774,1.80E-07,3.99E-06
POLR2K,3990.503734,-1.110748594,0.112791794,-9.847778436,7.01E-23,1.34E-20
MRPL13,8935.836385,-1.108568711,0.135649515,-8.172301319,3.03E-16,2.60E-14
SERPINB5,1369.335755,-1.108270972,0.123095195,-9.00336501,2.19E-19,2.72E-17
HMGB3,1256.888722,-1.107700227,0.164362462,-6.739374745,1.59E-11,7.42E-10
MAPKAPK5-AS1,1113.551064,-1.106836655,0.130639074,-8.472477815,2.40E-17,2.38E-15
RANBP1,6218.77059,-1.106411436,0.122367673,-9.041697145,1.54E-19,1.96E-17
SPG21,580.824932,-1.105889306,0.183885673,-6.014004717,1.81E-09,5.85E-08
CALB2,2029.544882,-1.105045638,0.120399429,-9.178163428,4.39E-20,6.02E-18
RAMAC,494.1459544,-1.10092693,0.154545557,-7.12364012,1.05E-12,5.92E-11
GPR87,319.091829,-1.099952108,0.206282184,-5.332269071,9.70E-08,2.28E-06
BID,747.860169,-1.099811323,0.150641365,-7.300858715,2.86E-13,1.73E-11
RP9,706.5397665,-1.097799252,0.183761895,-5.974030967,2.31E-09,7.39E-08
ID2,412.9330601,-1.093107624,0.211671265,-5.164175793,2.42E-07,5.22E-06
REEP3,1420.385316,-1.090713458,0.171682423,-6.353087522,2.11E-10,8.16E-09
RGS2,385.3301338,-1.090383573,0.188277153,-5.791374863,6.98E-09,2.02E-07
LAMTOR3,690.7892121,-1.08872643,0.186776808,-5.829023656,5.58E-09,1.64E-07
SAP18,27146.98843,-1.087992502,0.070681641,-15.39285864,1.83E-53,3.14E-50
TSPYL4,396.7883894,-1.082607158,0.208720142,-5.18688397,2.14E-07,4.67E-06
CKS2,2432.735951,-1.082137145,0.1078386,-10.03478483,1.07E-23,2.19E-21
PFDN2,7593.367425,-1.080700218,0.072195369,-14.96910719,1.17E-50,1.67E-47
UTP11,2747.297685,-1.080264302,0.121218361,-8.911721755,5.02E-19,5.91E-17
ARHGDIB,1737.267215,-1.074357839,0.095037753,-11.30453746,1.25E-29,4.98E-27
TALDO1,5897.584819,-1.071272088,0.104005236,-10.30017458,7.03E-25,1.57E-22
POLR1F,1756.372862,-1.070444251,0.117496889,-9.11040503,8.21E-20,1.08E-17
MANF,3304.516308,-1.067522554,0.168215823,-6.346148257,2.21E-10,8.50E-09
IDH3B,602.4511595,-1.064568737,0.197497428,-5.390291661,7.03E-08,1.69E-06
NDUFA9,646.3369164,-1.063759909,0.157446,-6.756347632,1.42E-11,6.68E-10
TMEM11,464.3337861,-1.058521089,0.183077293,-5.781826211,7.39E-09,2.14E-07
HNRNPD,609.8025972,-1.051133638,0.161221384,-6.519815233,7.04E-11,3.00E-09
PHB,2486.820461,-1.049295505,0.09563919,-10.9713968,5.25E-28,1.73E-25
KBTBD2,398.0211946,-1.044336864,0.198486072,-5.261512084,1.43E-07,3.25E-06
CREM,846.5923457,-1.043835666,0.163518627,-6.383588754,1.73E-10,6.75E-09
MAD2L1BP,684.4362546,-1.043150751,0.171549421,-6.080759397,1.20E-09,3.99E-08
GTF2A2,9540.647963,-1.033802462,0.08214435,-12.58519261,2.55E-36,1.99E-33
OGFRL1,337.5570283,-1.029382428,0.174061398,-5.913904186,3.34E-09,1.04E-07
H3-3A,333.6508638,-1.027455107,0.187817056,-5.47051014,4.49E-08,1.13E-06
TIMM21,541.4775325,-1.020182599,0.173343066,-5.885338376,3.97E-09,1.21E-07
TMEM126B,4036.780169,-1.015656425,0.088565498,-11.46785658,1.91E-30,8.21E-28
RRP15,2269.347923,-1.014570737,0.091041628,-11.14403118,7.66E-29,2.92E-26
GOLT1B,683.8627819,-1.012038765,0.146100509,-6.927003665,4.30E-12,2.21E-10
SNHG30,574.6778348,-1.010200121,0.136457419,-7.403042876,1.33E-13,8.28E-12
ZNF431,446.6209479,-1.000768091,0.192116346,-5.209177218,1.90E-07,4.18E-06
PAPOLA,1838.35492,-0.996632072,0.183319495,-5.436585291,5.43E-08,1.33E-06
ARPC2,11817.78119,-0.994854958,0.110512207,-9.002217829,2.21E-19,2.73E-17
UBE2A,5951.103171,-0.990944481,0.077836545,-12.73109542,3.97E-37,3.41E-34
HSPE1,13989.81204,-0.989825942,0.100796663,-9.820026898,9.23E-23,1.70E-20
RAB11A,2267.74004,-0.988626051,0.135367839,-7.303256516,2.81E-13,1.70E-11
SNHG11,529.5622685,-0.988364109,0.14435329,-6.846841599,7.55E-12,3.68E-10
TPD52,991.2193876,-0.987859718,0.141211227,-6.995617425,2.64E-12,1.40E-10
GIHCG,668.1153068,-0.986072867,0.147691226,-6.676583938,2.45E-11,1.11E-09
CHCHD7,1515.480178,-0.984525935,0.103301401,-9.530615487,1.56E-21,2.42E-19
GNPNAT1,1249.530731,-0.983061398,0.171877038,-5.719562141,1.07E-08,3.01E-07
KRT10,1040.122224,-0.969995166,0.179243173,-5.41161567,6.25E-08,1.51E-06
SREK1IP1,2473.060714,-0.967727302,0.118121633,-8.192633966,2.56E-16,2.22E-14
SRGN,1526.957042,-0.964251688,0.118047268,-8.168352407,3.13E-16,2.66E-14
SEC61G,12653.29717,-0.962133056,0.092585935,-10.39178423,2.70E-25,6.38E-23
EHF,597.0046534,-0.959937034,0.164166215,-5.847348281,4.99E-09,1.49E-07
PRDX1,13346.96361,-0.959095591,0.075591832,-12.6878205,6.91E-37,5.65E-34
RBM8A,1994.537209,-0.956214075,0.105703193,-9.04621754,1.48E-19,1.90E-17
UCHL3,2970.183318,-0.951226427,0.105558594,-9.011359355,2.04E-19,2.57E-17
UBE2L3,4327.223275,-0.950676887,0.116352741,-8.170644522,3.07E-16,2.62E-14
TMEM156,1038.352294,-0.950470785,0.149144271,-6.372827986,1.86E-10,7.21E-09
FUCA2,1117.314199,-0.948046893,0.169908198,-5.579759581,2.41E-08,6.38E-07
ATP5F1B,2355.639753,-0.947684856,0.13540228,-6.999031769,2.58E-12,1.37E-10
MED31,1692.477572,-0.94277921,0.107237481,-8.791508325,1.48E-18,1.66E-16
RABEP1,1260.744608,-0.941947374,0.1096406,-8.591227824,8.60E-18,8.95E-16
PTTG1,9075.698927,-0.936329413,0.095233344,-9.83194931,8.20E-23,1.53E-20
LLPH,2134.026386,-0.932958239,0.117796486,-7.920085518,2.37E-15,1.87E-13
FUNDC1,1316.315885,-0.931331834,0.117080783,-7.954608842,1.80E-15,1.44E-13
NCBP2AS2,660.3387429,-0.929892348,0.143741795,-6.46918558,9.85E-11,4.02E-09
FRG1CP,528.228125,-0.929360453,0.146743604,-6.333226287,2.40E-10,9.20E-09
SERTAD1,567.1628591,-0.929247025,0.178145636,-5.21622111,1.83E-07,4.05E-06
SF3B6,13684.73188,-0.922863551,0.093171024,-9.905048924,3.96E-23,7.81E-21
FKBP3,2244.680939,-0.919485491,0.136694566,-6.726569432,1.74E-11,8.06E-10
SNHG15,3210.665038,-0.918837875,0.086725631,-10.59476726,3.15E-26,8.33E-24
ARF4,1596.981352,-0.914062134,0.120782661,-7.567825781,3.80E-14,2.57E-12
ZRANB2,1646.267046,-0.912977415,0.156177627,-5.845763143,5.04E-09,1.50E-07
CCT3,1554.294261,-0.912892792,0.155782699,-5.86003963,4.63E-09,1.39E-07
ZFAND2A,2556.01859,-0.910849601,0.108084083,-8.427231572,3.54E-17,3.43E-15
CYCS,9032.720603,-0.908629509,0.087958626,-10.33019215,5.15E-25,1.19E-22
NDUFA8,3414.004831,-0.907659791,0.099941434,-9.081916836,1.07E-19,1.39E-17
OTUD6B-AS1,2010.385031,-0.906556492,0.119825795,-7.565620484,3.86E-14,2.60E-12
ENY2,10186.57773,-0.905304203,0.094568851,-9.572964016,1.04E-21,1.66E-19
FABP5,2627.227188,-0.904887085,0.1767684,-5.119054581,3.07E-07,6.45E-06
HMGB1,8888.367366,-0.898691043,0.08251848,-10.89078522,1.28E-27,4.06E-25
COQ7,383.2408707,-0.897997316,0.167799267,-5.351616452,8.72E-08,2.07E-06
PRSS3,2725.32797,-0.897442579,0.089931177,-9.979215316,1.88E-23,3.75E-21
RPS2,36330.12208,-0.896445435,0.100461676,-8.923257836,4.53E-19,5.36E-17
B2M,8795.067642,-0.895654473,0.105491692,-8.49028444,2.06E-17,2.08E-15
HUS1,822.1698867,-0.894456127,0.172510002,-5.184952268,2.16E-07,4.71E-06
RAP1A,1283.356447,-0.894351014,0.119267489,-7.498699116,6.45E-14,4.24E-12
LCN2,12351.15003,-0.893924285,0.07172788,-12.46271725,1.19E-35,8.19E-33
MED30,1658.586653,-0.890834974,0.107928252,-8.253955322,1.53E-16,1.38E-14
LSM5,4767.11614,-0.889073532,0.108254795,-8.212786617,2.16E-16,1.91E-14
FAM32A,2554.803853,-0.880221906,0.092479908,-9.517979862,1.77E-21,2.68E-19
POLR2F,14247.00978,-0.880050113,0.079593327,-11.0568328,2.03E-28,7.42E-26
ENSG00000226084,406.3920726,-0.879416928,0.171638513,-5.123657334,3.00E-07,6.31E-06
H2BC12,551.1263745,-0.879049637,0.139609741,-6.2964778,3.04E-10,1.13E-08
PSMC4,646.1831634,-0.875994336,0.168112782,-5.210753918,1.88E-07,4.16E-06
UBE2N,1817.428764,-0.869899761,0.1359256,-6.399822845,1.56E-10,6.10E-09
TEX30,1471.199935,-0.869672827,0.113614371,-7.654602296,1.94E-14,1.38E-12
THOC7,3437.87935,-0.869438848,0.140383472,-6.193313481,5.89E-10,2.07E-08
YBX1,6917.810923,-0.86623012,0.099631604,-8.694330757,3.49E-18,3.87E-16
TPD52L1,4535.741176,-0.865923818,0.111466352,-7.768477212,7.94E-15,5.80E-13
THUMPD3-AS1,1288.390182,-0.865751007,0.140548582,-6.159798937,7.28E-10,2.52E-08
BCL2L12,3751.499824,-0.863985121,0.134644267,-6.416798422,1.39E-10,5.51E-09
LSM3,8524.166424,-0.862541923,0.084296213,-10.23227371,1.42E-24,3.09E-22
RPS2P5,3251.185271,-0.860230384,0.13451442,-6.395079286,1.60E-10,6.28E-09
MRPL47,8947.641252,-0.859173971,0.091518183,-9.388013825,6.11E-21,8.75E-19
MAGOHB,1865.083348,-0.858742582,0.11123563,-7.720031646,1.16E-14,8.39E-13
UBE2B,1793.190841,-0.857807116,0.140728773,-6.09546364,1.09E-09,3.66E-08
HMGN1,7110.657773,-0.856281701,0.101309023,-8.452176121,2.86E-17,2.81E-15
H2AZ2,2531.502604,-0.855524941,0.087328938,-9.796580173,1.16E-22,2.13E-20
WDR20,1736.346468,-0.855509713,0.104206488,-8.20975475,2.22E-16,1.94E-14
